transaction_id,account_no,transaction_timestamp,deposit_amt,withdrawal_amt,balance_amt,chq_no,transaction_details,value_date,transaction_sector,bank_id,transaction_status
59f1f1cf-5de3-4c6b-a6a1-5f27bf47e9da,2171475,2025-04-30 00:42:34,∅,$1058.99,$115058.78,∅,Indiaforensic NFS SETT 09-01-201,#NULL!,Retail,9,SUCCESS
827654a6-5aa0-4d41-b623-2cc61c42e0aa,409000000000,2025-04-29 12:46:48,∅,$303.24,$134229.2,A10597,RTGS/SBINH15313143813/Indfor,#NULL!,Internal Fund Transfer,9,SUCCESS
cf9799e9-72d0-4186-a086-1d370bd5f7df,409000000000,2025-04-22 18:54:44,∅,$1297.64,$14648.76,A70432,RTGS/SBINH15313143813/Indfor,#NULL!,Internal Fund Transfer,9,SUCCESS
c23e5ca9-1e60-4cfb-bff9-d66a7e4be2e7,7635146,2025-04-27 12:15:40,∅,$676.11,$27607.44,∅,NEFT/N162160160752240/Indfor,2025-04-27,Retail,9,SUCCESS
9484cb89-9e39-42eb-a232-f233a1bc51aa,409000000000,2025-04-25 01:11:06,∅,$367.85,$187990.45,A20901,FUTURE RETAIL LIMITED (OW,2025-04-25,Retail,9,FAIL
cd09fe4e-05df-40d4-8fac-b2c2af7fcf71,409000000000,2025-04-23 09:44:19,$199.32,∅,$136581.88,∅,BEAT CASH PICKP 13327403,#NULL!,Internal Fund Transfer,9,SUCCESS
ec42de98-9946-44d6-a9a3-82261a58e6c4,7876000,2025-04-30 13:45:17,∅,$1347.72,$194793.89,∅,RTGS/SBINH15313143813/Indfor,2025-04-30,Retail,9,SUCCESS
8cf52299-b8bd-4768-bee2-3e288bd00444,1812951,2025-04-28 09:13:11,$1204.19,∅,$148257.06,A42828,BEAT CASH PICKP 13327403,#NULL!,Cash deposit,9,SUCCESS
868edd6b-9783-499f-b98b-eb6394f0872b,7567721,2025-04-25 08:30:39,∅,$325.97,$20085.5,A61993,Indiaforensic NFS SETT 09-01-201,#NULL!,Other,9,SUCCESS
577b5464-418b-4104-9ab8-f755de5afe6e,6078066,2025-04-24 19:13:21,$1419.85,∅,$134572.99,A10563,Indiaforensic NFS SETT 09-01-201,#NULL!,Cash deposit,9,FAIL
