transaction_id,account_no,transaction_timestamp,deposit_amt,withdrawal_amt,balance_amt,chq_no,transaction_details,value_date,transaction_sector,bank_id,transaction_status
0dd55588-ae37-43b7-bc01-174d0d75a272,409000000000,2025-04-27 23:38:54,1921.55,0.0,71705.81,,BEAT CASH PICKP 13327403,,Internal Fund Transfer,14,FAIL
c6e18fa4-9575-486c-a2ea-dc1627b1d1d9,4643115,2025-04-25 09:47:33,0.0,331.03,14010.66,,FDRL/INTERNAL FUND TRANSFER,,Internal Fund Transfer,14,FAIL
03161c11-5e60-4033-ae8a-58f8eb5aff53,409000000000,2025-04-26 03:33:31,868.09,0.0,75621.01,,Indiaforensic NFS SETT 09-01-201,,Internal Fund Transfer,14,PENDING
e4a986bc-17eb-4394-8626-8fadd539ac67,409000000000,2025-04-27 14:01:38,669.55,0.0,40604.99,A38719,FUTURE RETAIL LIMITED (OW,,Retail,14,PENDING
2d1462f9-af2e-4bc6-9cc6-325055ba6622,5582955,2025-04-23 10:42:39,1415.67,0.0,181081.69,,FUTURE RETAIL LIMITED (OW,,Retail,14,FAIL
8d80e61a-b6f4-4793-9db5-e40d0fc2da7b,409000000000,2025-04-26 16:17:42,0.0,773.7,18763.49,A34966,Indiaforensic NFS SETT 09-01-201,2025-04-26,Internal Fund Transfer,14,FAIL
1e619cf3-7104-4dfb-bc77-cadeb37dcd26,409000000000,2025-04-22 20:14:41,0.0,1440.85,68276.02,,FUTURE RETAIL LIMITED (OW,,Other,14,FAIL
aee5741f-2f07-459b-bf8d-dd23d5e6d472,409000000000,2025-04-29 23:14:56,1049.51,0.0,11297.93,,BEAT CASH PICKP 13327403,2025-04-29,Other,14,FAIL
aa4e539d-7090-4697-8500-aa6342464229,409000000000,2025-04-27 03:57:11,533.15,0.0,181478.42,A29248,BEAT CASH PICKP 13327403,2025-04-27,Other,14,PENDING
c0b64e58-46e9-49d8-93c8-1e933862d1c2,6159479,2025-04-27 10:40:51,0.0,992.73,184361.23,,RTGS/SBINH15313143813/Indfor,,Internal Fund Transfer,14,PENDING
22e3b616-754f-4f52-be96-6df5343a1972,409000000000,2025-04-29 21:09:45,1217.16,0.0,45227.76,A25032,FDRL/INTERNAL FUND TRANSFER,2025-04-29,Cash deposit,14,PENDING
1ffefa7e-9202-4cae-b41e-146554edbad8,409000000000,2025-04-29 13:36:19,1014.55,0.0,116252.99,A58303,RTGS/SBINH15313143813/Indfor,2025-04-29,Internal Fund Transfer,14,FAIL
092bce96-6fda-4bac-9bbf-695bf49ca5b8,2379584,2025-04-23 14:43:57,1301.73,0.0,139119.16,,NEFT/N162160160752240/Indfor,2025-04-23,Other,14,PENDING
b502b15c-71a8-423a-a302-c78b55f82cf4,409000000000,2025-04-23 20:19:28,1574.69,0.0,89928.1,,Indiaforensic NFS SETT 09-01-201,,Internal Fund Transfer,14,FAIL
dabffb26-0205-40b8-b048-326c4d38b08b,6114853,2025-04-28 17:56:35,188.51,0.0,33915.85,A43895,BEAT CASH PICKP 13327403,,Retail,14,PENDING
